,,,,,,,accuracy,accuracy,log-loss,log-loss,ECE,ECE,ECE_15bins,ECE_15bins,MCE,MCE,sharpness,sharpness,overconfidence,overconfidence,underconfidence,underconfidence,avg_confidence,avg_confidence,weighted_abs_conf_difference,weighted_abs_conf_difference,brier_score,brier_score
,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Method,Dataset,Model,n_classes,size,calib_size,test_size,,,,,,,,,,,,,,,,,,,,,,
Uncal,PCam,AdaBoost,2,10000,1000,9000,0.7585888888888889,0.0021760953440743643,0.6855364520286047,3.184574964888504e-05,0.25059895398428733,0.0021755459252273323,0.22525555555555554,0.002176095344074364,0.4801515151515151,0.0,0.0002549952573072624,1.783825008898726e-06,0.5028895349446473,2.284944131238856e-05,0.49400756508880583,1.0654567383423724e-05,0.5052433347316019,1.1246076537566863e-05,0.253345554157287,0.0021706491567604364,0.24619519101489215,1.5919260955111172e-05
Uncal,PCam,XGBoost,2,10000,1000,9000,0.8085777777777778,0.0015615405147320091,0.42494732545608305,0.0014702421973934283,0.06045867676767678,0.0007177491871183399,0.05415978835978835,0.0009796481210637502,0.18501637851005076,0.008964040696320404,0.3315317818538083,0.0009205020195498433,0.6489034837343707,0.000567552523129798,0.2176950145377631,0.0006768286021600704,0.7567685686813461,0.0005087875755802008,0.05180920909643174,0.0015168212199352818,0.1368866407131163,0.0006001476525766632
Uncal,PCam,mondrian_forest,2,10000,1000,9000,0.7945888888888889,0.0012461738424240127,0.41077732609840883,0.000995617146484821,0.041523597081930416,0.000711723791747043,0.03762280216691209,0.0011155586587352927,0.16112349961978137,0.0033425005103084908,0.4962110716118235,0.0014504114803795863,0.622845878315563,0.0004446782075779914,0.20237842700905556,0.0005854145463356388,0.7617203537564061,0.0004733514822440694,0.032868535132482814,0.001190518791696618,0.13825456278802656,0.00037552192993388464
Uncal,PCam,random_forest,2,10000,1000,9000,0.8486666666666668,0.000737027731190098,0.3813514945694529,0.002582161973990916,0.07979273288439956,0.0006362495388966716,0.08129791005291007,0.0007045189441481906,0.1903036097918639,0.004809168617821269,0.41316085257077945,0.0009331482134414403,0.6169851850568531,0.0009007404338111823,0.20448877208743213,0.0006356263889912384,0.7684942222222222,0.000523129445748939,0.08017244444444444,0.0007355571966711894,0.11482218888888891,0.0004430564024760643
Uncal,PCam,1layer_NN,2,10000,1000,9000,0.5925,0.0007720245772472508,0.8649207740603606,0.0014911927513875213,0.20901860493827162,0.000854028993970311,0.20317161375661374,0.000925272651463746,0.430423240419858,0.018537179298025307,0.34978774985767974,0.0010480367244138184,0.7700607538192016,0.00042769258491784357,0.18106675933885708,0.0009100280180939487,0.7990177522128882,0.0005974009630819878,0.2065177522128881,0.0009435666969386881,0.28235305983323067,0.000549089644959864
GPcalib,PCam,AdaBoost,2,10000,1000,9000,0.758611111111111,0.0023302448695927632,0.48307212659730087,0.002215620989229276,0.038939826038159375,0.0031899514570577756,0.02589468253968254,0.004233135753570123,0.18274926467579103,0.029856661305448985,0.30545960570506436,0.013697643264525668,0.6726933311776409,0.010250529770622265,0.2121013896379095,0.01200014995869267,0.7600855333996591,0.011355762389940448,0.009166105841258265,0.008946974076645617,0.16016491813051764,0.0010116579441279286
GPcalib,PCam,XGBoost,2,10000,1000,9000,0.8084777777777779,0.0014487589883448628,0.4137071653009564,0.0012373647213295637,0.03408335016835018,0.0019428902176670388,0.022071216931216924,0.004376836678302033,0.1619461678183075,0.025447558221932728,0.32791428892718266,0.00400554194724046,0.6974134323133561,0.009997386013534004,0.1679527561669421,0.00972106262154652,0.8062618017188588,0.009589335613484335,0.007810835553291073,0.007539871663220747,0.13375073502056964,0.0005688222195978968
GPcalib,PCam,mondrian_forest,2,10000,1000,9000,0.7943555555555555,0.0014720067394131935,0.4077757570965562,0.001287760733881865,0.0351544802406975,0.004024485519412933,0.027022780094791816,0.005214742326857522,0.14048213963883396,0.020528981512622748,0.46207354474608364,0.02548745993689597,0.643916316614339,0.012508281987178094,0.18625257731728406,0.00909535530315475,0.7788264619832571,0.009567549808614873,0.015676073597685407,0.010570281695238876,0.13709529867489673,0.0003822814920252449
GPcalib,PCam,random_forest,2,10000,1000,9000,0.8484777777777778,0.0009443355056997018,0.3504916525143171,0.0031075347377360297,0.028259535353535342,0.002695769200729183,0.021297301587301573,0.0029922757141977174,0.6430808080808081,0.09388933413886111,0.3585782307890817,0.02482254663029586,0.7045191556516461,0.006789692386355457,0.12064509765849744,0.005075566226508687,0.8528627051460946,0.004877451369564543,0.0057833279086525425,0.004029878849550164,0.10606355874427245,0.0005979470321999747
GPcalib,PCam,1layer_NN,2,10000,1000,9000,0.5778888888888889,0.0035210517196741053,0.6727427840606461,0.0009616123871125028,0.04541581257014591,0.0030749093236233007,0.040167248677248676,0.002658214625611779,0.661533411033411,0.05969874617616966,0.22266619952332745,0.012158516468089894,0.5700030876720252,0.0017755614547036083,0.3861967132982933,0.002621530499467671,0.5953163653570889,0.0023643235027563953,0.01742747646820002,0.002196849144138805,0.23677814232716718,0.0003777085805906589
GPcalib_lin,PCam,AdaBoost,2,10000,1000,9000,0.7585777777777778,0.0023387943149701424,0.4819852800145633,0.002337445628989995,0.03687884287317621,0.003364932546150768,0.02427214285714285,0.004774867075954831,0.21659378634923052,0.05971397696502216,0.31958971947054404,0.010355330608548539,0.6729005756742392,0.010597366879447253,0.20916991316954708,0.011817102686462674,0.7623556106116272,0.011317525061992947,0.009935000133992922,0.008636175805470067,0.1600732960270212,0.0010172184573834307
GPcalib_lin,PCam,XGBoost,2,10000,1000,9000,0.8085777777777778,0.0015615405147320091,0.4172636901549929,0.001798092594280721,0.03994773849607183,0.00208554465687398,0.02449201058201058,0.0017635544531072235,0.2203917452532173,0.03539317220037094,0.2925490522591294,0.005254359041872338,0.715409640707878,0.007366555987432407,0.1582315523119614,0.008089712409986363,0.8175789876329589,0.007754703258108436,0.011591674212940132,0.005062083367337299,0.13410030762549557,0.0008718963167913108
GPcalib_lin,PCam,mondrian_forest,2,10000,1000,9000,0.7946222222222221,0.0012991502973862961,0.4152333725229651,0.0011218416571800703,0.042614921436588106,0.001550881399783143,0.02865373015873015,0.0017595434894802492,0.1559690917922879,0.022400731656485515,0.38224428853515774,0.025287351413419704,0.6778191239056636,0.009152752440179043,0.1690364005095945,0.006032333906490169,0.7995131886912972,0.006376360834278911,0.007993535274450745,0.0034681659604071844,0.1371757953728298,0.0005585884936287824
GPcalib_lin,PCam,random_forest,2,10000,1000,9000,0.8482555555555555,0.0010463208781117614,0.3367447047259821,0.002153856545863806,0.021194190796857464,0.0013188385839663708,0.019258492063492064,0.0010881719122330846,0.24448578279568106,0.2404536664288465,0.3535889157010155,0.002176039809745939,0.7087925231992458,0.006967946177876612,0.117107837485562,0.0052777510101699576,0.8564728484171473,0.005448512170421802,0.008217292861591804,0.005857693450668365,0.10609222380529885,0.0006426663879618741
GPcalib_lin,PCam,1layer_NN,2,10000,1000,9000,0.5921222222222222,0.0012040740171115221,0.6645305734659495,0.0017553069927077616,0.05183124017957352,0.008623845220403301,0.04932738095238095,0.008828632047859513,0.17751600417213556,0.10322913382744928,0.045002062138476934,0.024281052912583322,0.5875403608806445,0.009964116168084408,0.395046918757838,0.008024406609991791,0.5978458772132881,0.008514617556383209,0.007804829225520412,0.006510664855578871,0.23601100358308452,0.0008156608060441335
Platt,PCam,AdaBoost,2,10000,1000,9000,0.7609444444444444,0.0030030848337199855,0.48142675268520196,0.002213002057143432,0.04085393041526376,0.0019681320456764327,0.023827936507936506,0.003840701798028438,0.18076236875829876,0.026912603090932616,0.31782617939878494,0.010874758712654954,0.6760407540144828,0.011785766668095226,0.20796236774680002,0.012013675041647302,0.7643000618491522,0.011834223626604374,0.009792065360625088,0.008071074267768923,0.1597084561316365,0.001006637742452798
Platt,PCam,XGBoost,2,10000,1000,9000,0.8065222222222224,0.0013168216296786683,0.41493237484418355,0.0019897705485026605,0.037840567901234565,0.0009523414195530527,0.022548968253968252,0.0021096722675889843,0.22333725442258795,0.036491526011231894,0.3060308240929302,0.006743831853992317,0.7088161755458612,0.008213277656459992,0.1573452677817177,0.007809980019964737,0.8167587556598269,0.007714212185736659,0.011965571636286343,0.005812838026387994,0.13357046611609827,0.0008742766977368931
Platt,PCam,mondrian_forest,2,10000,1000,9000,0.7976222222222222,0.0013437861871861813,0.4105086992983728,0.0008904291343091097,0.04280767115600449,0.0023698939291075757,0.03021677248677248,0.002822681472683216,0.1916932448038537,0.036954653296579064,0.37824825463281087,0.0036258746933449017,0.6798689130124963,0.005342046898024068,0.16577019302259854,0.006019815522510394,0.802989297345702,0.005702233949589547,0.007392113033659717,0.004167785756085288,0.13529232973592614,0.0005377657492862661
Platt,PCam,random_forest,2,10000,1000,9000,0.8484444444444446,0.0015243789353523286,0.3346980749714243,0.002251328009077046,0.02371253647586981,0.0035104775717993237,0.020170899470899485,0.0014507636128037332,0.14259628438589916,0.02593910379263269,0.3365185059326732,0.008284060190355123,0.7128774363130272,0.006501106894903979,0.11403940543964623,0.004724513578492123,0.8597283776528621,0.00491068406485354,0.011283933208417665,0.005440195894889597,0.105256131593089,0.0007075670268498892
Platt,PCam,1layer_NN,2,10000,1000,9000,0.6239444444444444,0.007021278652030913,0.6588822782028274,0.0004803014312160638,0.07174271604938272,0.005142262360342116,0.06207425925925926,0.0033834280304116805,0.3819002661572757,0.03638628224031757,0.05846091799971294,0.010471583865020354,0.601207092516054,0.006421986626711836,0.38655327254553123,0.00682175655273585,0.6088323473784856,0.006608992546447361,0.015812775335496933,0.008128318766722487,0.2328078356882468,0.00023702891943689074
Isotonic,PCam,AdaBoost,2,10000,1000,9000,0.7644333333333334,0.0025144029554194647,0.5521628433182855,0.06494000639932104,0.033479441077441066,0.004716207715811089,0.026971137566137567,0.004741756487306764,0.7910808080808082,0.10053960908089367,0.3537817651946377,0.036329501880067186,0.6794496642136066,0.013965107064234641,0.20455987321814267,0.012706105896414962,0.7681137417987607,0.01248551475219506,0.010873194719348686,0.009742635763576738,0.16060616714569653,0.0011376907369584658
Isotonic,PCam,XGBoost,2,10000,1000,9000,0.8049555555555555,0.001827394045800781,0.46957952986466867,0.05102032666562318,0.03229315263748597,0.005812360849683432,0.027023412698412703,0.003455124241472168,0.8240707070707071,0.14970853944272644,0.3678542369466169,0.04422458248874177,0.7017241196547214,0.01471351439283294,0.15483278082288943,0.009109917675989279,0.817191107022958,0.009729282984563678,0.015293806249522307,0.004693403403919176,0.13520235757754168,0.000922305062764905
Isotonic,PCam,mondrian_forest,2,10000,1000,9000,0.7953666666666666,0.003218196719198035,0.4460822229711727,0.030716299094479243,0.02909532098765431,0.0065966227723633355,0.030700608465608466,0.005907865836851757,0.8633434343434343,0.0883299588859546,0.45431112877671975,0.048740174231262166,0.6637483825055221,0.018228186056068137,0.16626425383347004,0.009312522749272733,0.7989341936783353,0.010909679127279406,0.008195224294657556,0.007827614440451448,0.1359128746415172,0.0005195300034657018
Isotonic,PCam,random_forest,2,10000,1000,9000,0.8472888888888889,0.0015610133531185912,0.37450159219410584,0.02088593024197057,0.0232932985409652,0.005239487045751075,0.022024761904761898,0.004771495471582521,0.09893881014973364,0.03939026751666677,0.3632585006816352,0.03615394528479964,0.7101519459977238,0.011336192001944138,0.11236509458812563,0.004713963148916256,0.8605265931372221,0.005179942372993081,0.013237704248333242,0.005844890892816593,0.10636042763584337,0.0010063869361467421
Isotonic,PCam,1layer_NN,2,10000,1000,9000,0.6504333333333333,0.0019319350697822523,0.6595889657001177,0.024044155170225387,0.02970712570145906,0.009167701148515194,0.026210767195767204,0.007858205311462708,0.8796767676767676,0.12161956446052428,0.10107034000655982,0.03182590501376887,0.6402052888984725,0.018544014822687773,0.3374114781304696,0.016518574201001678,0.6547639137610172,0.017094143394650117,0.015468556014720613,0.009968729470282777,0.22383285387736263,0.00096367977824755
